Library,County
Auburn Public Library ,Androscoggin
Julia Adams Morse Memorial Library ,Androscoggin
Lewiston Public Library ,Androscoggin
Lisbon Library ,Androscoggin
Livermore Public Library ,Androscoggin
Mechanic Falls Public Library ,Androscoggin
Ricker Memorial Library ,Androscoggin
Treat Memorial Library ,Androscoggin
Turner Public Library,Androscoggin
Abel J. Morneault Memorial Library ,Aroostook
Caribou Public Library ,Aroostook
Cary Library ,Aroostook
Faye O'Leary Hafford Library ,Aroostook
Fort Fairfield Public Library ,Aroostook
Fort Kent Public Library ,Aroostook
Gladys J. Craig Memorial Library ,Aroostook
Katahdin Public Library ,Aroostook
Long Lake Public Library ,Aroostook
Madawaska Public Library ,Aroostook
Mark and Emily Turner Memorial Library ,Aroostook
Robert A. Frost Memorial Library ,Aroostook
Sherman Public Library ,Aroostook
Walter T. A. Hansen Memorial Library ,Aroostook
Washburn Memorial Library,Aroostook
Baxter Memorial Library ,Cumberland
Bolsters Mills Village Library ,Cumberland
Bridgton Public Library ,Cumberland
Brown Memorial Library - East Baldwin ,Cumberland
Casco Public Library ,Cumberland
Chebeague Island Library ,Cumberland
Cliff Island Library ,Cumberland
Cundys Harbor Library ,Cumberland
Curtis Memorial Library ,Cumberland
Falmouth Memorial Library ,Cumberland
Freeport Community Library ,Cumberland
Gray Public Library ,Cumberland
Harrison Village Library ,Cumberland
Long Island Community Library ,Cumberland
Merrill Memorial Library ,Cumberland
Naples Public Library ,Cumberland
New Gloucester Public Library ,Cumberland
North Gorham Public Library ,Cumberland
Orr's Island Library ,Cumberland
Portland Public Library ,Cumberland
Portland Public Library - Burbank Branch ,Cumberland
Portland Public Library - Peaks Island Branch ,Cumberland
Portland Public Library - Riverton Branch ,Cumberland
Prince Memorial Library ,Cumberland
Raymond Village Library ,Cumberland
Richville Library ,Cumberland
Scarborough Public Library ,Cumberland
South Portland Public Library ,Cumberland
South Portland Public Library - Memorial Branch Library ,Cumberland
Spaulding Memorial Library ,Cumberland
Steep Falls Library ,Cumberland
Thomas Memorial Library ,Cumberland
Walker Memorial Library ,Cumberland
Windham Public Library,Cumberland
Carrabassett Valley Public Library ,Franklin
Farmington Public Library ,Franklin
Jay-Niles Memorial Library ,Franklin
Jim Ditzler Memorial Library ,Franklin
New Vineyard Public Library ,Franklin
Phillips Public Library ,Franklin
Rangeley Public Library ,Franklin
Stratton Public Library ,Franklin
Strong Public Library ,Franklin
Webster Library ,Franklin
Weld Public Library ,Franklin
Wilton Free Public Library,Franklin
Bass Harbor Memorial Library ,Hancock
Blue Hill Public Library ,Hancock
Brooksville Free Public Library ,Hancock
Buck Memorial Library ,Hancock
Chase Emerson Memorial Library ,Hancock
Dorcas Library ,Hancock
East Blue Hill Public Library ,Hancock
Ellsworth Public Library ,Hancock
Franklin Library ,Hancock
Frenchboro Public Library ,Hancock
Frenchman's Bay Library ,Hancock
Friend Memorial Public Library ,Hancock
Great Cranberry Library ,Hancock
Islesford Library ,Hancock
Jesup Memorial Library ,Hancock
Northeast Harbor Library ,Hancock
Somesville Library Association ,Hancock
Southwest Harbor Public Library ,Hancock
Stonington Public Library ,Hancock
Swans Island Public Library ,Hancock
Winter Harbor Public Library ,Hancock
Witherle Memorial Library,Hancock
Albert Church Brown Memorial Library ,Kennebec
Albion Public Library ,Kennebec
Belgrade Public Library ,Kennebec
Brown Memorial Library - Clinton ,Kennebec
Cary Memorial Library ,Kennebec
Charles M. Bailey Public Library ,Kennebec
Cumston Public Library ,Kennebec
Dr. Shaw Memorial Library ,Kennebec
Gardiner Public Library ,Kennebec
Hubbard Free Library ,Kennebec
Lithgow Public Library ,Kennebec
Oakland Public Library ,Kennebec
Readfield Community Library ,Kennebec
South China Public Library ,Kennebec
Underwood Memorial Library ,Kennebec
Vassalboro Public Library ,Kennebec
Waterville Public Library ,Kennebec
Winslow Public Library,Kennebec
Camden Public Library ,Knox
Cushing Public Library ,Knox
Friendship Public Library ,Knox
